recommended_action,final_score,programmeName,normalized_domain,review_providers,photo_signal,measurement_signal,gap_tags,primarySector,subSectors,approvalRate,epc,awinIndex,feedEnabled,productReporting,primaryRegion,displayUrl,sample_product_urls,already_in_lead_or_sovrn,existing_data_dir_found,existing_scrape_doc_found,existing_claim_found,probe_status,notes,advertiserId,base_gap_score
skip_existing_or_refresh_only,240.0,Niidor,niidor.com,Loox,yes,yes,full_bust_lingerie;general_womenswear,Lingerie,Clothing|Clothing Accessories|Health & Beauty|Lingerie|Womenswear,0.00,0.00,0,yes,no,US,https://niidor.com/,https://niidor.com/products/high-waist-smoothing-shorts | https://niidor.com/products/breathable-magnetic-closure-adhesive-bra | https://niidor.com/products/push-up-thin-bra-pads,yes,yes,no,yes,home_ok,,117505,150.0
request_to_join_p1_scrape_likely,240.0,Newton's First Clothing,newtonsfirstclothing.com,Judge.me,yes,yes,bottoms_denim_active;petite_tall,Clothing,Clothing,100.00,1.25,57.0546,no,yes,US,https://newtonsfirstclothing.com,https://newtonsfirstclothing.com/products/duncan-pant-2-0 | https://newtonsfirstclothing.com/products/carl-track-pant | https://newtonsfirstclothing.com/products/byron-short,no,no,no,no,home_ok,,98607,110.0
request_to_join_p1_scrape_likely,240.0,Oner Active Global,us.oneractive.com,Yotpo,yes,yes,bottoms_denim_active;general_womenswear,Sportswear,Clothing|Clothing Accessories|Sportswear,92.84,1.07,61.6412,yes,no,GB,https://us.oneractive.com/,https://us.oneractive.com/products/cotton-icon-baby-t-shirt-soft-black | https://us.oneractive.com/products/mid-length-puffer-jacket-truffle-brown | https://us.oneractive.com/products/softmotion-long-sleeve-crop-top-with-white-logo-soft-black,no,no,no,no,home_ok,,23707,110.0
request_to_join_p1_scrape_likely,240.0,PLAYALUXE US,playaluxe.com,Loox,yes,yes,plus_curve;general_womenswear,Clothing,Clothing|Green (Eco friendly)|Menswear|Womenswear,50.00,2.66,0,yes,no,US,https://playaluxe.com/,https://playaluxe.com/products/mykonos-mesh-shirt-pink | https://playaluxe.com/products/mykonos-mesh-shirt-green | https://playaluxe.com/products/mykonos-mesh-pant-pink,no,no,no,no,home_ok,,102335,115.0
request_to_join_p1_scrape_likely,239.7,Helen Jon,helenjon.com,Judge.me,yes,yes,swim_shapewear;general_womenswear,Clothing,Clothing,99.53,0.74,82.7406,yes,yes,US,https://www.helenjon.com,https://www.helenjon.com/products/clutch-kc-current | https://www.helenjon.com/products/beach-tote-kc-current | https://www.helenjon.com/products/pareo-lagos-copy,no,no,no,no,home_ok,,65426,105.0
request_to_join_p1_scrape_likely,237.8,Gatherall,wegatherall.com,Judge.me,yes,yes,full_bust_lingerie;general_womenswear,Clothing,Clothing,100.00,0.14,52.7897,no,yes,US,https://www.wegatherall.com,https://wegatherall.com/products/protective-sheet-replacements | https://wegatherall.com/products/gatherall-east-west-tote-1 | https://wegatherall.com/products/lifting-duo-1,no,no,no,no,home_ok,,96839,130.0
request_to_join_p1_scrape_likely,237.8,RaveFix,ravefix.com,Stamped,yes,yes,full_bust_lingerie,Clothing,Clothing,100.00,0.39,54.9707,yes,yes,US,https://www.ravefix.com,https://www.ravefix.com/products/bunny-beach-1-pc-swimsuit-1 | https://www.ravefix.com/products/midnight-vixen-mesh-bodysuit | https://www.ravefix.com/products/bunny-world-2-pc-bikini-set,no,no,no,no,home_ok,,97073,110.0
skip_existing_or_refresh_only,237.6,Au Natural,liveaunatural.com,Loox,yes,yes,full_bust_lingerie;general_womenswear,Clothing,Clothing,100.00,0.13,52.5289,no,yes,US,https://www.liveaunatural.com,https://liveaunatural.com/products/seamless-triangle-bra | https://liveaunatural.com/products/seamless-scoop-bra | https://liveaunatural.com/products/untitled-may23_09-14,yes,yes,no,yes,home_ok,,39342,130.0
request_to_join_p1_scrape_likely,236.8,Rip-It Sports (US),ripit.com,Bazaarvoice,yes,yes,bottoms_denim_active;general_womenswear,Sports Equipment,Clothing|Shoes|Sports Equipment|Sportswear|Womenswear,40.00,0.44,62.5551,no,no,US,https://www.ripit.com/,https://www.ripit.com/products/womens-rip-it-one-step-faster-tee | https://www.ripit.com/products/womens-swiftstep-future-volleyball-court-shoe | https://www.ripit.com/products/womens-swiftstep-kaylei-volleyball-court-shoe-sale-colors,no,no,no,no,home_ok,,118767,145.0
request_to_join_p1_scrape_likely,236.7,Lovability (US),lovabilityinc.com,Stamped;Yotpo,yes,yes,full_bust_lingerie;general_womenswear,Health & Beauty,Department Stores|Erotic|Green (Eco friendly)|Health & Beauty|Lingerie|Hotels & Accommodation,93.48,0.15,74.149,yes,yes,US,https://lovabilityinc.com/,https://lovabilityinc.com/products/waterslyde | https://lovabilityinc.com/products/bath-love-bundle | https://lovabilityinc.com/products/happy-sock,no,no,no,no,home_ok,,32759,115.0
