recommended_action,final_score,programmeName,normalized_domain,review_providers,photo_signal,measurement_signal,gap_tags,primarySector,subSectors,approvalRate,epc,awinIndex,feedEnabled,productReporting,primaryRegion,displayUrl,sample_product_urls,already_in_lead_or_sovrn,existing_data_dir_found,existing_scrape_doc_found,existing_claim_found,probe_status,notes,advertiserId,base_gap_score
do_not_prioritize_now,78.0,KIP,sleepinkip.com,unknown,no,yes,general_womenswear,Womenswear,Clothing|Womenswear,100.00,0.15,0,no,no,US,https://sleepinkip.com,,no,no,no,no,not_probed,,112668,55.0
do_not_prioritize_now,77.0,Kosher Casual,koshercasual.com,unknown,no,yes,general_womenswear,Womenswear,Womenswear,100.00,0.10,71.5832,no,no,US,https://koshercasual.com/,,no,no,no,no,not_probed,,123950,55.0
do_not_prioritize_now,77.0,Shop Avara (US),shopavara.com,unknown,no,yes,general_womenswear,Clothing,Clothing|Clothing Accessories|Womenswear,100.00,0.10,80.4237,no,no,US,https://shopavara.com/,,no,no,no,no,not_probed,,86303,55.0
do_not_prioritize_now,76.8,W Concept (US),wconcept.com,unknown,no,yes,general_womenswear,Clothing,Clothing|Clothing Accessories|Menswear|Shoes|Womenswear,32.99,0.01,0,yes,no,US,https://www.wconcept.com/,,no,no,no,no,not_probed,,6016,55.0
do_not_prioritize_now,76.6,DUCIE,ducie.co.uk,unknown,no,yes,dresses_formal;general_womenswear,Clothing,Clothing,100.00,0.08,51.775,no,no,US,https://www.ducie.co.uk,,no,no,no,no,not_probed,,81955,55.0
do_not_prioritize_now,76.4,Revelry (US),shoprevelry.com,unknown,no,yes,general_womenswear,Clothing,Clothing|Womenswear,100.00,0.07,67.1457,no,no,US,https://shoprevelry.com/,,no,no,no,no,not_probed,,51597,55.0
do_not_prioritize_now,76.0,Penelope Chilvers US,penelopechilvers.com,unknown,no,yes,general_womenswear,Womenswear,Womenswear,100.00,0.05,45.0959,no,no,US,https://penelopechilvers.com/us/,,no,no,no,no,not_probed,,67736,55.0
do_not_prioritize_now,75.7,Ana,annaoctober.com,unknown,no,yes,general_womenswear,Womenswear,Clothing|Womenswear,54.55,0.49,47.4686,no,no,US,https://annaoctober.com/,,no,no,no,no,not_probed,,116597,55.0
do_not_prioritize_now,75.6,REYEM (US),reyem.shop,unknown,no,yes,general_womenswear,Womenswear,Clothing|Clothing Accessories|Womenswear,100.00,0.03,58.4812,no,no,US,https://www.reyem.shop/,,no,no,no,no,not_probed,,121966,55.0
do_not_prioritize_now,75.6,ShirtSpace (US),shirtspace.com,unknown,no,yes,general_womenswear,Clothing,Childrenswear|Clothing|DIY|Group Buying|Menswear|Womenswear,100.00,0.03,0,no,no,US,https://www.shirtspace.com/,,no,no,no,no,not_probed,,85691,55.0
do_not_prioritize_now,75.6,Betting on the Wedding,bettingonthewedding.com,unknown,no,yes,general_womenswear,Entertainment Downloads,Gifts & Flowers|Home & Garden|Womenswear|Entertainment Downloads|Online Gaming|Software Downloads,100.00,0.03,72.9689,no,no,US,https://www.bettingonthewedding.com,,no,no,no,no,not_probed,,116289,55.0
do_not_prioritize_now,75.4,"Guangzhou Zhuoyun Network Technology Co., Ltd.",georigia.com,unknown,no,yes,general_womenswear,Clothing,Clothing,100.00,0.52,0,yes,yes,US,https://www.georigia.com,,no,no,no,no,not_probed,,103265,20.0
